file_name,transcription
0.mp3,So I think we can not live if old people could not find siences and tecnologies and they did not developped . 
1.mp3,For not use car . 
2.mp3,Here was no promise of morning except that we looked up through the trees we saw how low the forest had swung . 
3.mp3,Thus even today sex is considered as the least important topic in many parts of India . 
4.mp3,"image you salf you are wark in factory just to do one thing like pot taire on car if they fire you you will destroy , becouse u dont know more than pot taire in car . "
5.mp3,"They draw the consumers , like me , to purchase this great product with all these amazing ingredients and all that but actually they just sometimes make something up just to increase their sales . "
6.mp3,"I want to talk about nocive or bad products like alcohol , hair spray and cigarrets . "
7.mp3,For example they can play football whenever they want but the olders can not . 
8.mp3,"It figures Diana Krall wearing a Rolex watch and has a text that suggests that if the reader wants to belong to the restricted club , not necessarily of Rolex watch wearers , but of highly talented , sophisticated and competent artists , he or she should also have a Rolex . "
9.mp3,There are several reason . 
10.mp3,"Also the work of the media , television , magazines , and every stuff made for publicity affects the emotions of many people around the world , encouraging them to buy and buy anything they can . "
11.mp3,"Since most urban areas are occupied with cars , they are all facing up with an irresistible problem of air and noise pollution . "
12.mp3,"It is true that consumers preffer to buy a product that has a lower price , but when international companies that has already the certification begins to send its market , people will preffer to consume theirs because the difference between prices is probbably not going to affect them to much . "
13.mp3,4:they have a big chance to prepare for their future life 
14.mp3,One person if do n't have good health that means so many things they could lost . 
15.mp3,Many studies over the last 5 0 years have shown that people who have fluoride in their drinking water are considerably have less cavities than people who have not drinking nonfluoridated water . 
16.mp3,"Likewise , The theory generating from the concept of memory is also not the appropriate way due to limited memory . "
17.mp3,because they spent time unmeaningful subjects . 
18.mp3,"I was very fast , my best time was 5 5 seconds in 4 0 0 hundred meters is a good time in or country . "
19.mp3,And young people spend time more ther lifestile . 
20.mp3,If in this society who will not to do study they never concept there opportunity or ca n't understand any ideas so most of the important that in this situation and I also very interestion and also prefer that for the study material . 
21.mp3,We have to know this problem it 's serious but almost people doens't know about this . 
22.mp3,Students can focus on only a few subjects they are intwerested in and they will become an experts in those areas . 
23.mp3,"But in other waythismakes other way country need to pay extra money to make , repair the roads What they did is reduce the amount of gas consumers , high the gas tax , and low the income tax because they thought , only rise the gas tax is unfair . "
24.mp3,"Today , MBA students with a background in engineering are in high demand . "
25.mp3,In the case of young people the best way is studying as hard as possible to get better grades so in the future they will have better chance to find better jobs . 
26.mp3,So the school try learning the students a bit in every science exist . 
27.mp3,I think they have to get skill on it . 
28.mp3,Specializing in one particular subject does not suit our life in this era which is characterized by diversity and innovation 
29.mp3,I will explain my points of views in the following paragraphs . 
30.mp3,He thinks differently from other people and he succeded . 
31.mp3,These activities make the community a better place to live in and inculcate these values in all the members . 
32.mp3,Beacuse all those broad knowledge help they to understand their major in university as well as help they to make a correct choice in specializing study . 
33.mp3,And it was very easy to me to understand why he always brang bad marks at home . 
34.mp3,"Then when we went to the Science Olympiad , she could have diverse knowledges about the subects and it was not new for her to think about new things . "
35.mp3,"If every people thinks to learn and understand lots of scientifc subjects , any person will do not do it and as a result of this any science is n't imporeved . "
36.mp3,Thus in concordance with the above I agree whole heartedly that in twenty years there will be fewer cars in use than there are today . 
37.mp3,Third the butt it in hte front of the door of store to make the poeple see it even if it is not good 
38.mp3,"However , are these things all good to people ? "
39.mp3,Very soon they will run out at the current rate of utilisation . 
40.mp3,"In the lecture , however , professor oppose the reading statement . "
41.mp3,But YOU have to create these opportunities . 
42.mp3,Throughts our lives needs talk about our familys . 
43.mp3,They try new things . 
44.mp3,"Inorder to do this , they would need to learn additionally skills , either theoretical or practical , that would increase their understanding and future application of their chosen subject . "
45.mp3,if you want a product you give create a beautiful image around it if you want sell it . 
46.mp3,Secondly the place of the film must must be very clear and chir must be relax etc . 
47.mp3,and will put you maind on a non-stop learning ... 
48.mp3,this will the proof of speeding offense so that polices can easily catch them. . 
49.mp3,In today 's Compuer skill is first important life skill . 
50.mp3,He last choosed to learn truth . 
51.mp3,"I never have stopped myself to think this , but this is a real possibility for the fucture . "
52.mp3,"Young has his own field and word on it hard , and do more benefits to the society . "
53.mp3,and about the new information there is editors . 
54.mp3,"If we conseder an idea as a totally autonomous concept within the individual process of defining reality , I will state that ideas are useless , not being based on experience . "
55.mp3,"He/she wants to know everything about the universe , wants to know everything about the God , the death etc. these some concepts that everyone can encourage a lot of ideas but the facts are not found yet . "
56.mp3,It so expensive that only those people can do this besides of their allday living . 
57.mp3,They make very high profits year after yaer and the numbers also increase year after year . 
58.mp3,"For this reason , the number of cars would be decrease in the future . "
59.mp3,So he took upon himself to narrow his research on this subject which was a mystery to the world . 
60.mp3,Others who do n't have this concept they will sell uncerfied wood . 
61.mp3,I did n't have self-confidence . 
62.mp3,"If there are specialized docters , the docter has done the operation very often before , so he is really talented in his job . "
63.mp3,So It will be good situstion . 
64.mp3,"Also , I have traveled in a group without tour guide . "
65.mp3,the school teachers there the one who take the future of youg genaration so we have to give them to get the better knowledge . 
66.mp3,so this test is very important with theirs . 
67.mp3,but most time it is important because most student is not baly and his think and ideas is very important . 
68.mp3,"Otherwise , it will be a problem for us to understand certain thing in life . "
69.mp3,I myself like to participate in kind of activities and meet many people who would like to do . 
70.mp3,Second the amount of treasure locations are implausibly large . 
71.mp3,He mainly concetrate on the questions asked him at the time of interview . 
72.mp3,becaese when we learn about some subjects we should have more information about what we study so that the student will get the information more easier and more better and this is my first reason . 
73.mp3,In a market economy the price must reflect costs of the product and consumer 's willingness to buy the product . 
